SightID:ID,Name_CN,Name_EN,URL,:LABEL
sight_0001,悉尼水族馆,SEA LIFE Sydney Aquarium,https://you.ctrip.com/sight/sydney236/13613.html,Sight
sight_0002,悉尼歌剧院,Sydney Opera House,https://you.ctrip.com/sight/therocks2127185/13607.html,Sight
sight_0003,达令港,Darling Harbour,https://you.ctrip.com/sight/sydney236/15861.html,Sight
sight_0004,悉尼塔,Sydney Tower,https://you.ctrip.com/sight/sydney236/13606.html,Sight
sight_0005,塔龙加动物园,Taronga Zoo,https://you.ctrip.com/sight/sydney236/67649.html,Sight
sight_0006,悉尼野生动物园,WILD LIFE Sydney Zoo,https://you.ctrip.com/sight/sydney236/45206.html,Sight
sight_0007,悉尼海港大桥,Sydney Harbour Bridge,https://you.ctrip.com/sight/dawespoint2126532/13604.html,Sight
sight_0008,悉尼鱼市,Sydney Fish Market,https://you.ctrip.com/sight/pyrmont2126870/64165.html,Sight
sight_0009,邦迪海滩,Bondi Beach,https://you.ctrip.com/sight/bondibeach2127204/13618.html,Sight
sight_0010,皇家植物园,Royal Botanic Garden Sydney,https://you.ctrip.com/sight/wollongong2126918/13616.html,Sight
sight_0011,海德公园,Hyde Park,https://www.tripadvisor.com.au/Attraction_Review-g255060-d556260-Reviews-Hyde_Park-Sydney_New_South_Wales.html,Sight
sight_0012,圣玛丽大教堂,St Mary's Cathedral,https://you.ctrip.com/sight/wollongong2126918/15870.html,Sight
sight_0013,澳大利亚博物馆,Australian Museum,https://you.ctrip.com/sight/darlinghurst2126516/13608.html,Sight
sight_0014,维多利亚女王大厦,Queen Victoria Building,https://you.ctrip.com/sight/sydney236/13602.html,Sight
sight_0015,环形码头,Circular Quay,https://you.ctrip.com/sight/therocks2127185/1412297.html,Sight
sight_0016,中国城,Chinatown - Sydney,https://you.ctrip.com/sight/haymarket2126388/13614.html,Sight
sight_0017,Big Bus Sydney 悉尼随上随下观光巴士,Big Bus Tours Sydney,https://you.ctrip.com/sight/therocks2127185/2481378.html,Sight
sight_0018,澳大利亚国家海事博物馆,Australian National Maritime Museum,https://you.ctrip.com/sight/pyrmont2126870/13612.html,Sight
sight_0019,曼利海滩,Manly Beach,https://you.ctrip.com/sight/manly2126991/64477.html,Sight
sight_0020,悉尼杜莎夫人蜡像馆,Madame Tussauds Sydney,https://you.ctrip.com/sight/sydney236/1407236.html,Sight
sight_0021,月神公园,Luna Park Sydney,https://you.ctrip.com/sight/milsonspoint1463005/1785856.html,Sight
sight_0022,悉尼港,Port Jackson Bay,https://you.ctrip.com/sight/mosman2126825/64592.html,Sight
sight_0023,悉尼博物馆,Museum of Sydney,https://you.ctrip.com/sight/therocks2127185/13610.html,Sight
sight_0024,动力博物馆,Powerhouse Museum,https://you.ctrip.com/sight/ultimo2126810/13611.html,Sight
sight_0025,华特森湾,South Head and Watsons Bay Walk,https://you.ctrip.com/sight/sydney236/64121.html,Sight
sight_0026,悉尼考拉公园,Koala Park Sanctuary Sydney,https://you.ctrip.com/sight/westpennanthills2127059/1699357.html,Sight
sight_0027,悉尼市政厅,Sydney Town Hall,https://you.ctrip.com/sight/sydney236/13615.html,Sight
sight_0028,澳大利亚当代艺术博物馆,Museum of Contemporary Art Australia,https://you.ctrip.com/sight/therocks2127185/1412302.html,Sight
sight_0029,谊园,Chinese Garden of Friendship,https://www.tripadvisor.com.au/Attraction_Review-g255060-d259700-Reviews-Chinese_Garden_of_Friendship-Sydney_New_South_Wales.html,Sight
sight_0030,费瑟戴尔野生动物园,Featherdale Wildlife Park,https://you.ctrip.com/sight/woodcroft2126897/1773663.html,Sight
sight_0031,悉尼天文台,Sydney Observatory,https://you.ctrip.com/sight/millerspoint2126570/64078.html,Sight
sight_0032,史蒂芬港观海豚,Port Stephens,https://you.ctrip.com/sight/sydney236/2483002.html,Sight
sight_0033,皇家国家公园,Royal National Park Visitor Centre,https://www.tripadvisor.com.au/Attraction_Review-g1760470-d10251961-Reviews-Royal_National_Park_Visitor_Centre-Royal_National_Park_New_South_Wales.html,Sight
sight_0034,澳新军团纪念馆,Anzac Memorial,https://you.ctrip.com/sight/darlinghurst2126516/1699355.html,Sight
sight_0035,百老汇商业区,Harbourside Shopping Centre,https://you.ctrip.com/sight/sydney236/1409586.html,Sight
sight_0036,峭壁公园,Gap Park,https://you.ctrip.com/sight/watsonsbay2126863/1734503.html,Sight
sight_0037,蓝色海洋路,Grand Pacific Drive,https://you.ctrip.com/sight/sydney236/64170.html,Sight
sight_0038,马丁广场,Martin Place,https://you.ctrip.com/sight/sydney236/1412317.html,Sight
sight_0039,新南威尔士州图书馆,State Library of New South Wales,https://you.ctrip.com/sight/sydney236/1412337.html,Sight
sight_0040,拉彼鲁兹,La Perouse,https://you.ctrip.com/sight/laperouse2126404/1412406.html,Sight
sight_0041,牛津街,Oxford Street,https://you.ctrip.com/sight/sydney236/21541.html,Sight
sight_0042,卡梅植物湾国家公园,Kamay Botany Bay National Park,https://www.tripadvisor.com.au/Attraction_Review-g5001325-d10788585-Reviews-Kamay_Botany_Bay_National_Park-Kurnell_Sutherland_Shire_Greater_Sydney_New_Sout.html,Sight
