ShopID:ID,Name,URL,Review,:LABEL
shop_0024,澳洲宝石切割采珠,https://you.ctrip.com/shopping/sydney236/1453642.html,"中文导购员专程为你解说，了解了很多关于宝石的知识，服务态度也好不会强制推销，宝石都好漂亮~！可以现场看到加工过程，临走的时候带走了...
来自 大城小孩5 的点评",Shop
shop_0025,Altmann & Cherny Pty Ltd,https://you.ctrip.com/shopping/2127185/1453681.html,"晶莹剔透的珠宝，还有更多更好的产品 真的会很让人心动 但是大多数去的也只是看看 价格有点昂贵 而且 式样也是比较大 不是太适合年轻人
来自 诗意情节 的点评",Shop
shop_0026,Bose（霍姆布什DFO店）,https://you.ctrip.com/shopping/homebush2126986/7593.html,"比较偏中低端的折扣店，高端品牌有菲拉格慕、阿玛尼、巴宝莉等，澳洲本土品牌onrontoUGG、布克兄弟经常很便宜。大众品牌的包包、衣服很多，...
来自 霖川666 的点评",Shop
shop_0027,世界广场购物中心,https://you.ctrip.com/shopping/haymarket2126388/1355829.html,"很大，也有很多商店，ground floor 有一家买茶叶的很不错，是买手信的好地方，去这里的主要原因是这里的餐馆不全是5点关门，有鼎泰丰及汉堡...
来自 鱼眼看天下 的点评",Shop
shop_0028,岩石区,https://you.ctrip.com/shopping/2127185/13619.html,"岩石区是悉尼比较著名的购物街区，非常适合年轻人，走在街上放佛置身于英国的街道，店铺比较集中，商品琳琅满目，周末还会有集市
来自 __赛__ 的点评",Shop
shop_0029,Cosmopolitan Jewellers,https://you.ctrip.com/shopping/2127185/2915198.html,"这家店的规模很大，上牌很精致，服务很贴心. 非常舒适的一趟购物体验.
来自 e35****12 的点评",Shop
shop_0030,The Galeries百货,https://you.ctrip.com/shopping/sydney236/1355824.html,"这个百货公司的节奏非常的古典，里面的商品也非常的丰富。
来自 美丽的地球 的点评",Shop
shop_0031,Tax & Duty Free（悉尼机场店）,https://you.ctrip.com/shopping/mascot2126788/1379348.html,"悉尼机场免税店环境肯定不用说，各国机场免税店环境和服务都很好，尤其对中国人..哈哈哈！中国是消费大国!不过价格真的没有太大优势，尤其...
来自 唐瞳茜 的点评",Shop
shop_0032,澳大利亚Vollé珠宝,https://you.ctrip.com/shopping/sydney236/2276954.html,"这家店是专营澳宝的，做的很专业，店经理介绍她本人就是珠宝鉴定师，非常耐心热情，我很喜欢。全5分
来自 M22****0761 的点评",Shop
shop_0033,Westfield Group,https://you.ctrip.com/shopping/sydney236/1386350.html,"商品齐全，价格不算很贵，还能接受，环境挺好的，值得来。
来自 申申爱熊猫 的点评",Shop
shop_0034,DFO Homebush,https://you.ctrip.com/shopping/homebush2126986/1386352.html,"真是难以置信，没有什么比买东西更能让美女高兴的了，来DFO,别的不干，买买买，shopping爽到爆！中午直接subway三文治！
来自 世界美食游走达人 的点评",Shop
shop_0035,UGG澳洲精品店（501 George St店）,https://you.ctrip.com/shopping/sydney236/1449624.html,"来趟澳大利亚买双UGG那是必须的！但是看了好多都没有35码的！后来一问售货员，说只有童鞋才有35码的，成人款都从36起跳。我想说童鞋就童鞋...
来自 110****327 的点评",Shop
shop_0036,悉尼唐人街免税店,https://you.ctrip.com/shopping/haymarket2126388/1444441.html,"悉尼唐人街免税店位于唐人街内，销售的免税商品和其他地方的类似，只是这里的店员大多会讲中文，比较方便中国游客购物。一般来说，在这里购...
来自 35****933 的点评",Shop
shop_0037,Cincotta Discount Chemist(Carlingford店),https://you.ctrip.com/shopping/carlingford2126867/1456863.html,,Shop
shop_0038,Books Kinokuniya,https://you.ctrip.com/shopping/sydney236/1386378.html,,Shop
shop_0039,Coles,https://you.ctrip.com/shopping/turramurra2126630/1386353.html,"在悉尼的时候经常去Coles买东西，Westfield或者商场里面都会有，超市里面货品很齐全，满足日常需求，也可以购买冷冻食品自己加工，价格来说...
来自 ro****rs 的点评",Shop
shop_0040,乔治街,https://you.ctrip.com/shopping/sydney236/4203746.html,,Shop
shop_0041,宜家,https://you.ctrip.com/shopping/tempe2126791/1386372.html,"瑞典家居品牌，在世界各地，有很多的店面的，而且，宜家家居，餐厅的美食也是不错的！
来自 好运鱼满仓 的点评",Shop
shop_0042,woolworths(市政厅店),https://you.ctrip.com/shopping/sydney236/1453634.html,"每次去一个新的城市，都喜欢去找一家大超市逛逛看看买买，长见识解嘴馋。因为超市是除了菜市场以外，最贴近生活的地方。有很多我喜欢的吃的...
来自 摩小亚 的点评",Shop
shop_0043,UGG（悉尼拱廊店）,https://you.ctrip.com/shopping/sydney236/51628.html,"因为答应了朋友帮忙带UGG回成都，所以每到一个地方都会去逛逛经过的每一家UGG.因为她看中的是今年冬季的一款新品，而且是特别特别人气款的...
来自 摩小亚 的点评",Shop
