HotelID:ID,Name,URL,Price,Website,:LABEL
hotel_0011,Shangri-La Sydney,https://www.tripadvisor.com.au/Hotel_Review-g255060-d256528-Reviews-Shangri_La_Sydney-Sydney_New_South_Wales.html,"HKD 1,627",https://www.tripadvisor.com.au/Commerce?p=TABAIndependentHotels&src=0&geo=256528&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=262262002&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIke7rudibP5eT1WEfFCBNEdFhsXYB4jtuyVCoIluiklNUB0PkUgG3hRQerlOFVJwZKg&adults=2&child_rm_ages=&inDay=7&outDay=8&rooms=1&inMonth=5&inYear=2023&outMonth=5&outYear=2023&def_d=true&bapid=1&cs=1901e963697db96e497a72d95f36e95d5&ba_uid=5233ad57-e200-4175-9edf-86bd02d2d097,Hotel
hotel_0012,Sydney Harbour Marriott Hotel at Circular Quay,https://www.tripadvisor.com.au/Hotel_Review-g255060-d255674-Reviews-Sydney_Harbour_Marriott_Hotel_at_Circular_Quay-Sydney_New_South_Wales.html,"HKD 1,518",https://www.tripadvisor.com.au/Commerce?p=Marriott_BA&src=183959858&geo=255674&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=38059&bucket=934872&nrank=1&crank=1&clt=CLD&ttype=ContactLinkDesktop&tm=262262007&managed=false&capped=false&gosox=g3xMt9YCHBy3ZUg-YypssegjQviHlJQg6b-lnBPg98x_z9Z0XP9pjcZi3RyRnEOZBkXrr7VFy7QXK3swQ2IHqSr7Z8YKuQ_G9mJCCjQEIgg&adults=2&child_rm_ages=&inDay=7&outDay=8&rooms=1&dated=true&inMonth=5&inYear=2023&outMonth=5&outYear=2023&def_d=true&bapid=1&cs=1f38c61db87053adfdf7926455791dd1d&ba_uid=6cf7419f-1e34-4c3d-a8d7-66fafdcd66ae,Hotel
hotel_0013,57 Hotel,https://www.tripadvisor.com.au/Hotel_Review-g255060-d7389132-Reviews-57_Hotel-Sydney_New_South_Wales.html,HKD 834,,Hotel
hotel_0014,Meriton Suites Zetland,https://www.tripadvisor.com.au/Hotel_Review-g255060-d3514899-Reviews-Meriton_Suites_Zetland-Sydney_New_South_Wales.html,HKD 840,https://www.tripadvisor.com.au/Commerce?p=Meriton_BA&src=235240318&geo=3514899&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=40655&bucket=944587&nrank=1&crank=1&clt=CLD&ttype=ContactLinkDesktop&tm=262262018&managed=false&capped=false&gosox=AX-CE3jzoK8nsTHQ9o41JOgjQviHlJQg6b-lnBPg98zF3X_fnxD6aQ5SQOyWabmlwlJ2DO8FASA2UW7L5iJ3NIFb8dQuuOvUxO0bsvWUVo4&adults=2&child_rm_ages=&inDay=7&outDay=8&rooms=1&dated=true&inMonth=5&inYear=2023&outMonth=5&outYear=2023&def_d=true&bapid=1&cs=166e3c958388f6a10f35c6fcdf297748d&ba_uid=0283834c-b4db-439f-95fe-f6c71d64911f,Hotel
hotel_0015,ValueSuites Green Square,https://www.tripadvisor.com.au/Hotel_Review-g255060-d12118485-Reviews-ValueSuites_Green_Square-Sydney_New_South_Wales.html,HKD 771,,Hotel
hotel_0016,Novotel Sydney on Darling Harbour,https://www.tripadvisor.com.au/Hotel_Review-g255060-d256610-Reviews-Novotel_Sydney_on_Darling_Harbour-Sydney_New_South_Wales.html,"HKD 1,339",https://www.tripadvisor.com.au/Commerce?p=TABAIndependentHotels&src=0&geo=256610&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=262262029&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkRORAkUe8sZZo0FZ27LWDEju6WntF65urOzdzASZx10x3t72URiJUtbfbpvfrKUTyw&adults=2&child_rm_ages=&inDay=7&outDay=8&rooms=1&inMonth=5&inYear=2023&outMonth=5&outYear=2023&def_d=true&bapid=1&cs=1892c15c91e5a62695bcf8209831668bc&ba_uid=12af67f6-a59d-4b00-8813-74ddb107bc0c,Hotel
hotel_0017,Mercure Sydney,https://www.tripadvisor.com.au/Hotel_Review-g255060-d256598-Reviews-Mercure_Sydney-Sydney_New_South_Wales.html,"HKD 1,044",,Hotel
hotel_0018,Hyatt Regency Sydney,https://www.tripadvisor.com.au/Hotel_Review-g255060-d256541-Reviews-Hyatt_Regency_Sydney-Sydney_New_South_Wales.html,"HKD 1,569",,Hotel
hotel_0019,YEHS Hotel - Sydney QVB,https://www.tripadvisor.com.au/Hotel_Review-g255060-d15296513-Reviews-YEHS_Hotel_Sydney_QVB-Sydney_New_South_Wales.html,HKD 832,,Hotel
hotel_0020,Sir Stamford at Circular Quay Hotel Sydney,https://www.tripadvisor.com.au/Hotel_Review-g255060-d256639-Reviews-Sir_Stamford_at_Circular_Quay_Hotel_Sydney-Sydney_New_South_Wales.html,"HKD 1,528",,Hotel
