CityID:ID,Name,:LABEL
city_0001,Mount Wilson,City
city_0002,Rainbow Flat,City
city_0003,Dromana,City
city_0004,Adelaide,City
city_0005,Gerroa,City
city_0006,Lake Conjola,City
city_0007,Budgee Budgee,City
city_0008,Murrumbateman,City
city_0009,Zilzie,City
city_0010,Hawks Nest,City
city_0011,Speers Point,City
city_0012,Canowindra,City
city_0013,Ballina,City
city_0014,Apollo Bay,City
city_0015,Fitzroy Falls,City
city_0016,Waverley,City
city_0017,Binalong,City
city_0018,Queanbeyan,City
city_0019,Red Hill South,City
city_0020,Ballarat,City
city_0021,Wallendbeen,City
city_0022,Bunbury,City
city_0023,Chain Valley Bay,City
city_0024,Middle Dural,City
city_0025,Whyanbeel,City
city_0026,Margaret River,City
city_0027,Malua Bay,City
city_0028,Nashdale,City
city_0029,Yarramalong,City
city_0030,Perth,City
city_0031,Milbrodale,City
city_0032,Heatherbrae,City
city_0033,Port Douglas,City
city_0034,Bright,City
city_0035,Laurieton,City
city_0036,Yan Yean,City
city_0037,Dixons Creek,City
city_0038,Bulga Forest,City
city_0039,Castlemaine,City
city_0040,Hastings,City
city_0041,Nowendoc,City
city_0042,Parkes,City
city_0043,Quorrobolong,City
city_0044,Tanilba Bay,City
city_0045,Bellarine,City
city_0046,Bolwarra,City
city_0047,St Helens,City
city_0048,Robin Hill,City
city_0049,Wyong Creek,City
city_0050,Blue Mountains National Park,City
city_0051,Kalbarri,City
city_0052,Bittern,City
city_0053,Narrabri,City
city_0054,Kurri Kurri,City
city_0055,Wentworth Falls,City
city_0056,Mulbring,City
city_0057,Wauchope,City
city_0058,Bristol,City
city_0059,Cooma,City
city_0060,Lawson,City
city_0061,Lennox Head,City
city_0062,Port Stephens,City
city_0063,Millfield,City
city_0064,Mograni,City
city_0065,Cottage Point,City
city_0066,Bowning,City
city_0067,Koorawatha,City
city_0068,Mornington,City
city_0069,Cooranbong,City
city_0070,Rochester,City
city_0071,Castlereagh,City
city_0072,Berrima,City
city_0073,Whittingham,City
city_0074,Greendale (North),City
city_0075,Comerong Island,City
city_0076,Morisset,City
city_0077,Wollombi,City
city_0078,Mungo,City
city_0079,Wallabadah,City
city_0080,Buckenderra,City
city_0081,Kandos,City
city_0082,Port Welshpool,City
city_0083,Killarney,City
city_0084,Yetholme,City
city_0085,Central Coast,City
city_0086,Cawdor,City
city_0087,Sutton,City
city_0088,Perthville,City
city_0089,Cape Schanck,City
city_0090,Belimbla Park,City
city_0091,Belconnen,City
city_0092,Boomerang Beach,City
city_0093,Mount Erin,City
city_0094,Darwin,City
city_0095,Hall,City
city_0096,Bundanoon,City
city_0097,Wollongong,City
city_0098,Brooklyn,City
city_0099,Tilpa,City
city_0100,East Lynne,City
city_0101,Airlie Beach,City
city_0102,Southsea,City
city_0103,Cowan,City
city_0104,Harrington,City
city_0105,Mulgoa,City
